hashtag,link,tweet
@policia,https://twitter.com/LauraFangs/status/1041299678602686464,"@Leonard24198 @n_tentiendo @324cat @policia @guardiacivil @jusapol Que sí, que vale, que aprenda usted a leer y aprenda idiomas y vea y escuche lo que en todo el mundo dicen de ustedes y quienes les mandan. 

Salud y república."
@policia,https://twitter.com/Leonard24198/status/1041299668389519365,"@kikefoz @joncme1 @mightymayte @cubells_jordi @lasvocesdelpue @policia @guardiacivil @interiorgob @jusapol Hablo de quien quiere imponerse por encima de los derechos de los demás, tirándoles pintura, croquetas o esteladas. Te parece lógico intentar coartar el derecho fundamental a la manifestación?"
@policia,https://twitter.com/ElectorPatriota/status/1041299587103956994,"@Nin631 @PRIMERJAUME @DGobiernoCV @policia @guardiacivil Al catalanismo siempre se le combate, aunque sea en una red como esta, por lo tanto no es perder el tiempo. Bien, el que tu no me quieras dar la nacionalidad es irrelevante, se trata de los traidores a valencia los que nos quieren hacer catalanes a la fuerza."
@policia,https://twitter.com/Leonard24198/status/1041299198564544512,"@9Balas9 @324cat @policia @guardiacivil @jusapol Yo sólo me meto porque veo lo que algunos fascistas queréis imponer en Cataluña, me solidarizó con los que no lo quieren y están obligados a sufriros. Es lo que tiene tener sentido de la justicia, que aunque no sea a tu persona, te duele cuando vulneran derechos a las personas."
@policia,https://twitter.com/n_tentiendo/status/1041299113000816640,"@Leonard24198 @LauraFangs @324cat @policia @guardiacivil @jusapol Esta será siempre nuestra lectura, y la del mundo entero que vio como apaleábais a gente por votar. Tú haz la lectura que quieras. Ni oblit ni perdó!!"
@policia,https://twitter.com/LauraFangs/status/1041299079349891073,"@Leonard24198 @324cat @policia @guardiacivil @jusapol El derecho a votar también es fundamental y os lo pasais por el arco del triunfo. 
Y hágaselo mirar, que ya nos conocemos el discurso de Goebbels. 

Croquetero mío. 😘"
@policia,https://twitter.com/9Balas9/status/1041298854010859520,@Leonard24198 @324cat @policia @guardiacivil @jusapol No das para mas verdad? Repited el mismo argumento a pesar de que ya te he contado el qué.
@policia,https://twitter.com/Leonard24198/status/1041298712235044864,"@9Balas9 @324cat @policia @guardiacivil @jusapol Pero vamos a ver, que tienen derecho a manifestarse igual que tu. Quienes sois para evitarles hacerlo como habéis hecho? Y encima estáis orgullosos. Pues deja que te diga que esto es fascismo, y deberías verlo objetivamente."
@policia,https://twitter.com/eugenia_sm/status/1041298476863299584,"#Oviedo, calle del Rosal, fiestas de #SanMateo. Unos niñatos acceden a una propiedad privada y queman la bandera de España.
@policia 
@guardiacivil 
@benemeritosGC 
@CasoAislado_Es 
@ClavedeSole 
@fundjoseantonio 
@CooficialidadNo https://t.co/r7O5z5EFmB"
@policia,https://twitter.com/Leonard24198/status/1041298291739250688,"@n_tentiendo @LauraFangs @324cat @policia @guardiacivil @jusapol Esa es tu lectura. Muchos no lo vemos igual.
Es una pena que acabase todo así, pero está claro quien lo provocó y lo buscó, usando la fuerza de las masas para conseguir su fin político ilegitimo."
